index_item,ie
State motor vehicle registration and license fees,0.3
Parking and other fees,0.205
Unsampled motor vehicle fees,0.015
Public transportation,0.777
Airline fares,0.481
Other intercity transportation,0.096
Intracity transportation,0.199
Unsampled public transportation,0.002
Medical care,8.487
Medical care commodities,1.524
Medicinal drugs,1.422
Prescription drugs,1.044
Nonprescription drugs,0.378
Medical equipment and supplies,0.103
Medical care services,6.962
Professional services,3.585
Physicians' services,1.9
Dental services,0.924
Eyeglasses and eye care,0.371
Services by other medical professionals,0.39
Hospital and related services,2.573
Hospital services,2.199
Nursing homes and adult day services,0.21
Care of invalids and elderly at home,0.164
Health insurance,0.804
Recreation,5.108
Video and audio,1.471
Televisions,0.147
Cable and satellite television service,1.069
Other video equipment,0.027
"Video discs and other media, including rental of video",0.093
Audio equipment,0.076
Recorded music and music subscriptions,0.054
Unsampled video and audio,0.006
"Pets, pet products and services",1.058
Pets and pet products,0.546
Pet services including veterinary,0.512
Sporting goods,0.564
Sports vehicles including bicycles,0.325
Sports equipment,0.227
Unsampled sporting goods,0.011
Photography,0.051
Photographic equipment and supplies,0.021
Photographers and photo processing,0.03
Unsampled photography,0
Other recreational goods,0.384
Toys,0.299
"Sewing machines, fabric and supplies",0.027
Music instruments and accessories,0.042
Unsampled recreation commodities,0.016
Other recreation services,1.483
"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees",0.648
Admissions,0.468
Fees for lessons or instructions,0.174
Unsampled recreation services,0.193
Recreational reading materials,0.097
Newspapers and magazines,0.056
Recreational books,0.041
Unsampled recreational reading materials,0
Education and communication,6.406
Education,2.677
Educational books and supplies,0.087
"Tuition, other school fees, and childcare",2.59
College tuition and fees,1.493
Elementary and high school tuition and fees,0.324
Day care and preschool,0.64
Technical and business school tuition and fees,0.04
"Unsampled tuition, other school fees, and childcare",0.093
Communication,3.728
Postage and delivery services,0.086
Postage,0.078
Delivery services,0.008
Information and information processing,3.642
Telephone services,1.9
Wireless telephone services,1.587
Residential telephone services,0.313
"Information technology, hardware and services",1.743
"Computers, peripherals, and smart home assistants",0.36
Computer software and accessories,0.021
Internet services and electronic information providers,0.967
"Telephone hardware, calculators, and other consumer information items",0.385
Unsampled information and information processing,0.009
Other goods and services,2.737
Tobacco and smoking products,0.526
Cigarettes,0.455
Tobacco products other than cigarettes,0.066
Unsampled tobacco and smoking products,0.005
Personal care,2.211
Personal care products,0.648
"Hair, dental, shaving, and miscellaneous personal care products",0.331
"Cosmetics, perfume, bath, nail preparations and implements",0.308
Unsampled personal care products,0.009
Personal care services,0.546
Haircuts and other personal care services,0.546
Miscellaneous personal services,0.833
Legal services,0.232
Funeral expenses,0.149
Laundry and dry cleaning services,0.154
Apparel services other than laundry and dry cleaning,0.018
Financial services,0.196
Unsampled items,0.083
Miscellaneous personal goods,0.184
All items,100
Commodities,39.083
Commodities less food and beverages,24.824
Nondurables less food and beverages,11.767
"Nondurables less food, beverages, and apparel",9.31
Durables,13.057
Services,60.917
Rent of shelter,32.563
Transportation services,5.599
Other services,10.12
All items less food,86.63
All items less shelter,67.054
All items less medical care,91.513
Commodities less food,25.713
Nondurables less food,12.656
Nondurables less food and apparel,10.199
Nondurables,26.027
Apparel less footwear,1.848
Services less rent of shelter,28.354
Services less medical care services,53.954
Energy,7.348
All items less energy,92.652
All items less food and energy,79.282
Commodities less food and energy commodities,21.699
Energy commodities,4.014
Services less energy services,57.583
Domestically produced farm food,6.862
Utilities and public transportation,8.191
